problem_id,answer
Problem_318,NA
Problem_319,NA
Problem_320,NA
Problem_321,NA
Problem_322,NA
Problem_323,NA
Problem_324,0.25
Problem_325,-frac{ e}{2}
Problem_326,\ln(2) - \frac{1}{2}
Problem_327,frac{pi}{2}
Problem_328,"\alpha=1, \beta=1"
Problem_329,8
Problem_330,\frac{\pi}{4} + \frac{1}{2}
Problem_331,\frac{\pi}{2}
Problem_332,10.57
Problem_333,\frac{\pi}{\sqrt{2}}
Problem_334,e-1
Problem_335,8
Problem_336,\sqrt{2\pi}
Problem_337,2e
Problem_338,y(x) = e^{-x} + e^{-2x}
Problem_339,Yes
Problem_340,NA
Problem_341,NA
Problem_342,NA
Problem_343,NA
Problem_344,NA
Problem_345,NA
Problem_346,NA
Problem_347,NA
Problem_348,NA
Problem_349,NA
Problem_350,NA
Problem_351,0.34
Problem_352,16380
Problem_353,3
Problem_354,0.285714
Problem_355,0.406
Problem_356,0.11
Problem_357,23.401
Problem_358,0.875
Problem_359,11232
Problem_360,0.264
Problem_361,0.0001
Problem_362,2e^{-1} - 1
Problem_363,e^{-2}
Problem_364,0.5
Problem_365,0.25
Problem_366,0
Problem_367,NA
Problem_368,NA
Problem_369,NA
Problem_370,NA
Problem_371,NA
Problem_372,NA
Problem_373,NA
Problem_374,NA
Problem_375,NA
Problem_376,NA
Problem_377,NA
Problem_378,"(-3.0, 5.0)"
Problem_379,"(1113.6, 7167.1)"
Problem_380,Yes
Problem_381,No
Problem_382,"2	heta^2/n"
Problem_383,theta^2
Problem_384,1
Problem_385,Yes
Problem_386,1/(n\alpha \bar{X})
Problem_387,Yes
